Fluid,Temperature,Viscosity,Density
Air,0,1.716e-5,1.275
Air,5,1.732e-5,1.269
Air,10,1.747e-5,1.247
Air,15,1.762e-5,1.225
Air,20,1.81e-5,1.204
Air,25,1.846e-5,1.184
Air,30,1.872e-5,1.165
Air,35,1.895e-5,1.146
Air,40,1.918e-5,1.127
Air,45,1.941e-5,1.109
Air,50,1.963e-5,1.092
Air,55,1.985e-5,1.075
Air,60,2.005e-5,1.060
Air,65,2.026e-5,1.045
Air,70,2.046e-5,1.030
Air,75,2.066e-5,1.016
Air,80,2.085e-5,1.002
Air,85,2.104e-5,0.989
Air,90,2.122e-5,0.976
Air,95,2.140e-5,0.964
Air,100,2.158e-5,0.946
Oil,0,0.65,890
Oil,5,0.48,885
Oil,10,0.35,880
Oil,15,0.26,875
Oil,20,0.20,870
Oil,25,0.16,865
Oil,30,0.13,860
Oil,35,0.11,855
Oil,40,0.09,850
Oil,45,0.075,845
Oil,50,0.065,840
Oil,55,0.055,835
Oil,60,0.048,830
Oil,65,0.042,825
Oil,70,0.037,820
Oil,75,0.033,815
Oil,80,0.030,810
Oil,85,0.027,805
Oil,90,0.025,800
Oil,95,0.023,795
Oil,100,0.021,790
Water,0,0.001792,999.84
Water,5,0.001519,999.99
Water,10,0.001307,999.70
Water,15,0.001138,999.10
Water,20,0.001002,998.21
Water,25,0.000890,997.05
Water,30,0.000798,995.65
Water,35,0.000719,994.03
Water,40,0.000653,992.22
Water,45,0.000596,990.21
Water,50,0.000547,988.05
Water,55,0.000504,985.73
Water,60,0.000467,983.21
Water,65,0.000434,980.51
Water,70,0.000404,977.76
Water,75,0.000378,974.87
Water,80,0.000355,971.80
Water,85,0.000335,968.62
Water,90,0.000317,965.30
Water,95,0.000301,961.87
Water,100,0.000282,958.40
